item,itemLabel,startDate,endDate,psid
Q11042774,Mohammad Ma'ruf,2004-10-21,2007-03-02,Q11042774-C8839FB5-6F8A-4E72-AAEF-351830A5739D
Q12482854,Feisal Tanjung,1999-10-01,1999-10-20,Q12482854-ACC92126-4918-45F3-8ACA-58DEA7678406
Q12485293,Hari Sabarno,2001-08-10,2004-10-20,Q12485293-E2F7E78F-73AE-4D69-A8A7-5D9AFC4F8D12
Q12507527,R. Hartono,1998-03-14,1998-05-21,Q12507527-4859BBEE-0A75-4058-BB53-35F465CD8646
Q12508994,Rudini,1988-03-21,1993-03-17,Q12508994-8CC0076C-C7AF-4A30-BF8C-4213B0B34890
Q12515771,Soepardjo Rustam,1983-03-19,1988-03-21,Q12515771-6F19E1C9-109B-4B35-94AD-F95D74E4FDE4
Q12518364,Syarwan Hamid,1998-05-23,1999-09-27,Q12518364-3BB09ACC-84D2-4897-B674-E91C030B67EF
Q12521705,Tito Karnavian,2019-10-23,,Q12521705-1ACFF3E3-A842-4D77-944D-FF9FA69BE64D
Q12521725,Tjahjo Kumolo,2014-10-27,2019-10-18,Q12521725-FFF1743D-9D0E-40D4-B9AE-749642962C0D
Q12525261,Yogie Suardi Memet,1993-03-17,1998-03-14,Q12525261-0C17535D-A054-4C6F-AEF0-BABA91F360EE
Q13097203,Soerjadi Soedirdja,1999-10-29,2001-07-23,Q13097203-51083BFC-C278-45E1-BD72-8486689566AE
Q3502316,Mardiyanto,2007-08-29,2009-10-20,Q3502316-CDF66A24-E78A-4BA6-96E1-91CF1DB492AB
Q4808308,Assaat,1950-09-06,1951-04-27,Q4808308-F7962362-AEF6-44C9-8E25-87367750A43A
Q4902218,Widodo A. S.,2007-03-02,2007-08-29,Q4902218-36E0F793-9E1D-425D-90BB-81F62795FE63
Q5519592,Gamawan Fauzi,2009-10-22,2014-10-20,Q5519592-B49C02E7-B672-4AC4-9AF1-2FF64935C6BC
Q76317,Soedharmono,1982-10-01,1983-03-19,Q76317-4C0DDEDB-E75E-468F-AD34-E1EA3757E14C
