position,title
Q11755916,President
Q3543445,Vice President
Q108300192,Minister of Agrarian and Spatial Planning
Q108298207,Minister of Agriculture
Q57729161,Minister of Communication and Information
Q108299534,Minister of Cooperatives and Small and Medium Enterprises
Q29076377,Minister of Defence
Q19752438,Minister of Education and Culture
Q12479877,"Minister of Education, Culture, Research and Technology"
Q108298100,Minister of Energy and Mineral Resources
Q57948304,Minister of Finance
Q19827130,Minister of Foreign Affairs
Q108298729,Minister of Health
Q12479867,Minister of Home Affairs
Q108299819,Minister of Housing
Q108300310,Minister of Industry
Q89101302,Minister of Industry and Trade
Q108299924,Minister of Investment
Q53920130,Minister of Law and Human Rights
Q108298641,Minister of Manpower
Q108299521,Minister of National Development Planning
Q108298341,Minister of of Maritime Affairs and Fisheries
Q108298684,Minister of Public Works and Public Housing
Q58856162,Minister of Religious Affairs
Q12479860,Minister of Religious Affairs
Q108299386,Minister of Research and Technology
Q108298107,Minister of Social Affairs
Q108299788,Minister of State Apparatus Empowerment and Bureaucratic Reform
Q108299837,Minister of State-Owned Enterprises
Q53938865,Minister of State Secretary
Q108298235,Minister of the Environment and Forestry
Q108299861,Minister of Tourism and Creative Economy
Q108298162,Minister of Trade
Q57946840,Minister of Transportation
Q108299796,"Minister of Villages, Development of Disadvantaged Regions and Transmigration"
Q108299778,Minister of Women’s Empowerment and Child Protection
Q108299899,Minister of Youth and Sports
Q108300303,Coordinating Minister for Economic Affairs
Q108300280,Coordinating Minister for Human Development and Cultural Affairs
Q108300471,Coordinating Minister for Maritime Affairs and Investment
Q108300292,"Coordinating Minister for Political, Legal, and Security Affairs"
Q108300193,Head of the National Land Agency
Q108300184,Head of the National Development Planning Agency
Q108299939,Chairman of the Investment Coordinating Board
Q108300203,Cabinet Secretary
Q108300235,Presidential Chief of Staff
Q7433253,Speaker of the House of Representatives
Q12490460,Attorney General
Q106885903,Chief Justice of the Supreme Court
Q11281667,Commander of the National Armed Forces
Q25453522,Head of the State Intelligence Agency
Q11282034,Chief of the National Police
Q109534226,Governor of Bank Indonesia
